FK_Name,ModelID,Num_ModelID,ObjectID,NumOID,ImportID,Child_Table_Name,Referred_Table_Name,Engineer,Delete_Rule,Child_Table_ID,Num_Child_Table_ID,Referred_Table_ID,Num_Referred_Table_ID,Referred_Key_ID,Num_Referred_Key_ID,Number_Of_Columns
"Customer_Package_Customer_FK",CBAF4DAD-175E-FCBD-25B6-662158AD20C9,69,B993B36A-DC8F-05F5-1310-77B2171381E9,135,,Customer_Package,Customer,Y,NO ACTION,EE66333F-C681-67E6-B5A6-61BB3CB6CF70,72,A64F1BE2-BA7F-A712-AFB4-5CA123A77F91,71,79F26377-0C34-61E7-AD2E-A06816EE1262,121,1,
"Customer_Package_Packages_FK",CBAF4DAD-175E-FCBD-25B6-662158AD20C9,69,5186D8BE-128F-D627-10F4-F94126F28B39,136,,Customer_Package,Packages,Y,NO ACTION,EE66333F-C681-67E6-B5A6-61BB3CB6CF70,72,78738502-EB23-35BC-D723-F05047915B97,77,DAF8209D-F547-F582-E0C7-3C1F00615BC7,120,1,
"Day_Activities_Activity_FK",CBAF4DAD-175E-FCBD-25B6-662158AD20C9,69,F3772D12-016B-670A-09F5-37A9B473AEBB,137,,Day_Activities,Activity,Y,NO ACTION,DDE31130-F780-4FDC-0EC9-19709E82D46B,73,20058712-A8C5-7441-6887-2EDD4F04ABF2,70,877B61CA-0A22-F080-1AA3-7ED7B73F15DE,116,1,
"Day_Activities_Itinerary_FK",CBAF4DAD-175E-FCBD-25B6-662158AD20C9,69,E44B7328-4881-7BB8-2E70-4D91E7D4CFF7,138,,Day_Activities,Itinerary,Y,NO ACTION,DDE31130-F780-4FDC-0EC9-19709E82D46B,73,D54A94E8-0830-3905-3268-1ECC14773FD6,75,B56F654F-38DE-E24F-3BE9-4DB0CE2F62F4,124,2,
"Destination_Packages_FK",CBAF4DAD-175E-FCBD-25B6-662158AD20C9,69,ACD0C350-2EBE-7006-4C2B-C37DF75107EE,139,,Destination,Packages,Y,NO ACTION,B10D0E95-8520-1810-7982-09E19B4FC946,74,78738502-EB23-35BC-D723-F05047915B97,77,DAF8209D-F547-F582-E0C7-3C1F00615BC7,120,1,
"Itinerary_Packages_FK",CBAF4DAD-175E-FCBD-25B6-662158AD20C9,69,1893D024-9492-6987-55CF-AE3FBB0F12BC,140,,Itinerary,Packages,Y,NO ACTION,D54A94E8-0830-3905-3268-1ECC14773FD6,75,78738502-EB23-35BC-D723-F05047915B97,77,DAF8209D-F547-F582-E0C7-3C1F00615BC7,120,1,
"Package_Guide_Packages_FK",CBAF4DAD-175E-FCBD-25B6-662158AD20C9,69,E9B087F8-B114-6A92-F8BA-AA3AFF82C6E8,141,,Package_Guide,Packages,Y,NO ACTION,DA3F0025-662B-1C52-8434-4E8CAA99BDDB,76,78738502-EB23-35BC-D723-F05047915B97,77,DAF8209D-F547-F582-E0C7-3C1F00615BC7,120,1,
"Package_Guide_Staff_FK",CBAF4DAD-175E-FCBD-25B6-662158AD20C9,69,789760A0-5B2E-443F-FFC0-5D911DDD7BCC,142,,Package_Guide,Staff,Y,NO ACTION,DA3F0025-662B-1C52-8434-4E8CAA99BDDB,76,5B40D33A-33F4-B0BC-020F-34C3369FC245,79,BA8CA4E9-0284-EC53-E03F-22A9889A7772,118,1,
"Staff_Role_FK",CBAF4DAD-175E-FCBD-25B6-662158AD20C9,69,030F5902-7CEE-715A-E8BC-7867AB0ADD05,143,,Staff,Role,Y,NO ACTION,5B40D33A-33F4-B0BC-020F-34C3369FC245,79,351409CE-4435-1D63-CB79-8A384A3A4F20,78,1E5258DF-87F8-8578-E8D0-803DEB969004,117,1,
